class_id,class_name,current_package,is_misplaced,confidence,reasoning,suggested_package,evidence,method_used,analysis_time,analysis_timestamp
ToNumberBenchmark,ToNumberBenchmark,org.openrefine.benchmark,False,0.95,Class appears to be correctly placed,org.openrefine.benchmark,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ExecutionPlan,ExecutionPlan,org.openrefine.benchmark,False,0.95,Class appears to be correctly placed,org.openrefine.benchmark,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseColumnType,DatabaseColumnType,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseConfiguration,DatabaseConfiguration,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseImportController,DatabaseImportController,com.google.refine.extension.database,True,0.9000000000000001,"Class name 'DatabaseImportController' suggests controller functionality; Contains controller-typical methods: doGet, doPost, getDbServiceException",controller,"Name matches controller pattern; Methods: doGet, doPost, getDbServiceException",rule-based + semantic analysis,26.85,2025-08-10T01:45:53.391645
DatabaseModuleImpl,DatabaseModuleImpl,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseService,DatabaseService,com.google.refine.extension.database,True,0.7000000000000001,Class name 'DatabaseService' suggests service functionality,service,Name matches service pattern; Methods: executeQuery,rule-based + semantic analysis,26.85,2025-08-10T01:45:53.391645
DBType,DBType,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseServiceException,DatabaseServiceException,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseUtils,DatabaseUtils,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DBQueryResultImportReader,DBQueryResultImportReader,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DBQueryResultPreviewReader,DBQueryResultPreviewReader,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SavedConnectionContainer,SavedConnectionContainer,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SimpleTextEncryptor,SimpleTextEncryptor,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
SQLType,SQLType,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DriverContainer,DriverContainer,com.google.refine.extension.database,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ConnectCommand,ConnectCommand,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
DatabaseCommand,DatabaseCommand,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
ExecuteQueryCommand,ExecuteQueryCommand,com.google.refine.extension.database.cmd,False,0.95,Class appears to be correctly placed,com.google.refine.extension.database.cmd,No misplacement indicators found,llm+embedding,26.85,2025-08-10T01:45:53.391645
